productId,itemId,description,department,deptDescription,categorySubCode,categorySubDescription,category,manufacturer,subSegmentDescription,subSegmentId,segmentDescription,segmentId,subCategoryDescription,subCategoryId,majorDepartmentDescription,majorDepartmentId,container,size,uom,active,privateLabelFlag,consumption,package,flavor,brand,brandType,height,width,depth,shapeId,family,trademark,country,color,alternateHeight,alternateWeight,alternateDepth,containerDescription,distributor,industryType,dateCreatedBQ
"","18239900085","Duke's Honey Bourbon Beef Jerky 3.15 Ounce Bag","","","17-01-00","Meat Snacks","Alternative Snacks","THANASI Foods","","","","","","","","","1.0","3.15","OZ","","","","","","Dukes","","","","","","","","","","","","","","","","1521215599000"
"","18239900090","Duke's Spicy BBQ Beef Brisket 3 Ounce Bag","","","17-01-00","Meat Snacks","Alternative Snacks","THANASI Foods","","","","","","","","","1.0","3.0","OZ","","","","","","Dukes","","","","","","","","","","","","","","","","1521215599000"
"","18244200001","Mad Housewife Chardonnay 1 Pack 750 Milliliter Bottle","","","05-00-00","Wine","Wine","Wine Products","Other","","Other","","","","","","1.0","750.0","ML","","","","","","Mad Housewife Chardonnay","","","","","","","","","","","","","","","","1517236534000"
"","18244200005","Mad Housewife Merlot 1 Pack 750 Milliliter Bottle","","","05-00-00","Wine","Wine","Wine Products","Other","","Other","","","","","","1.0","750.0","ML","","","","","","Mad Housewife Merlot","","","","","","","","","","","","","","","","1517236534000"
"","18244200007","Mad Housewife Sweet White 1 Pack 750 Milliliter Bottle","","","05-00-00","Wine","Wine","Wine Products","Other","","Other","","","","","","1.0","750.0","ML","","","","","","Mad Housewife Sweet White","","","","","","","","","","","","","","","","1517236534000"
"","1834115102","Barefoot Sauvignon Blanc.5B ","","","05-00-00","Wine","Wine","Wine Products","Other","","Other","","","","","","1.0","2.0","L","","","","","","Barefoot Sauvignon Blanc","","","","","","","","","","","","","","","","1517236534000"
"","1834115105","Barefoot Chardonnay.5B ","","","05-00-00","Wine","Wine","Wine Products","Other","","Other","","","","","","1.0","2.0","L","","","","","","Barefoot Chardonnay","","","","","","","","","","","","","","","","1517236534000"
"","1834115106","Barefoot White Zinfandel.5B ","","","05-00-00","Wine","Wine","Wine Products","Other","","Other","","","","","","1.0","2.0","L","","","","","","Barefoot White Zinfandel","","","","","","","","","","","","","","","","1517236534000"
"","1834175101","Barefoot Cabernet Sauvignon 1 Pack 750 Milliliter Bottle","","","05-00-00","Wine","Wine","Wine Products","Other","","Other","","","","","","1.0","750.0","ML","","","","","","Barefoot Cabernet Sauvignon","","","","","","","","","","","","","","","","1517236534000"
"","1834175102","Barefoot Sauvignon Blanc 1 Pack 750 Milliliter Bottle","","","05-00-00","Wine","Wine","Wine Products","Other","","Other","","","","","","1.0","750.0","ML","","","","","","Barefoot Sauvignon Blanc","","","","","","","","","","","","","","","","1517236534000"
"","1834175105","Barefoot Chardonnay 1 Pack 750 Milliliter Bottle","","","05-00-00","Wine","Wine","Wine Products","Other","","Other","","","","","","1.0","750.0","ML","","","","","","Barefoot Chardonnay","","","","","","","","","","","","","","","","1517236534000"
"","1834175106","Barefoot White Zinfandel 1 Pack 750 Milliliter Bottle","","","05-00-00","Wine","Wine","Wine Products","Other","","Other","","","","","","1.0","750.0","ML","","","","","","Barefoot White Zinfandel","","","","","","","","","","","","","","","","1517236534000"
"","1834175109","Barefoot Zinfandel 1 Pack 750 Milliliter Bottle","","","05-00-00","Wine","Wine","Wine Products","Other","","Other","","","","","","1.0","750.0","ML","","","","","","Barefoot Zinfandel","","","","","","","","","","","","","","","","1517236534000"
"","1834175110","Barefoot Merlot 1 Pack 750 Milliliter Bottle","","","05-00-00","Wine","Wine","Wine Products","Other","","Other","","","","","","1.0","750.0","ML","","","","","","Barefoot Merlot","","","","","","","","","","","","","","","","1517236534000"
"","1834175113","Barefoot Shiraz 1 Pack 750 Milliliter Bottle","","","05-00-00","Wine","Wine","Wine Products","Other","","Other","","","","","","1.0","750.0","ML","","","","","","Barefoot Shiraz","","","","","","","","","","","","","","","","1517236534000"
"","1834175126","Barefoot Bubbly Brut Sparkling 1 Pack 750 Milliliter Bottle","","","05-00-00","Wine","Wine","Wine Products","Other","","Other","","","","","","1.0","750.0","ML","","","","","","Barefoot Bubbly Brut Sparkling","","","","","","","","","","","","","","","","1517236534000"
"","18442600000","Camo 900 1 Pack 24 Ounce Can","","","04-07-00","Malt Liquor","Beer","Micro Breweries","Value Malt","","Value","","","","","","1.0","24.0","OZ","","","","","","Camo 900","","","","","","","","","","","","","","","","1517236534000"
"","18442600010","Camo Black Ice 1 Pack 24 Ounce Can","","","04-07-00","Malt Liquor","Beer","Micro Breweries","Value Malt","","Value","","","","","","1.0","24.0","OZ","","","","","","Camo Black Ice","","","","","","","","","","","","","","","","1517236534000"
"","18459400030","Renew2O Water 16 Ounce Can","","","07-05-00","Bottled Water","Packaged Beverages (Non-alcoholic)","Gone Krazy Koncepts","","","","","","","","","1.0","16.0","OZ","","","","","","Renew2O","","","","","","","","","","","","","","","","1517236534000"
"","18473300203","Miami Big Rod Coconut Ale 6 Pack 12 Ounce Can","","","04-06-00","Microbrews/Craft","Beer","Micro Breweries","Craft","","Craft/Import","","","","","","6.0","12.0","OZ","","","","","","Miami Big Rod Coconut Ale","","","","","","","","","","","","","","","","1517236534000"
"","18473300223","Miami Gator Tail Brown Ale 6 Pack 12 Ounce Can","","","04-06-00","Microbrews/Craft","Beer","Micro Breweries","Craft","","Craft/Import","","","","","","6.0","12.0","OZ","","","","","","Miami Gator Tail Brown Ale","","","","","","","","","","","","","","","","1517236534000"
"","18473300243","Miami Shark Bait 6 Pack 12 Ounce Can","","","04-06-00","Microbrews/Craft","Beer","Micro Breweries","Craft","","Craft/Import","","","","","","6.0","12.0","OZ","","","","","","Miami Shark Bait","","","","","","","","","","","","","","","","1517236534000"
"","18474500004","Kung Fu Girl Riesling 1 Pack 750 Milliliter Bottle","","","05-00-00","Wine","Wine","Wine Products","Other","","Other","","","","","","1.0","750.0","ML","","","","","","Kung Fu Girl Riesling","","","","","","","","","","","","","","","","1517236534000"
"","18488500020","Empty Tank Propane Exchange","","","01-05-00","Propane Fuel","Fuel Products","Pinnacle Propane Express LLC","","","","","","","","","1.0","","","","","","","","Pinnacle Propane Express","","","","","","","","","","","","","","","","1517734629000"
"","18488500022","New Tank Propane Exchange","","","01-05-00","Propane Fuel","Fuel Products","Pinnacle Propane Express LLC","","","","","","","","","1.0","","","","","","","","Pinnacle Propane Express","","","","","","","","","","","","","","","","1517734629000"
"","18606300066","Crispin Pacific Pear Cider 4 Pack 12 Ounce Bottle","","","04-09-00","Flavored Malt","Beer","MillerCoors","Craft","","Craft/Import","","","","","","4.0","12.0","OZ","","","","","","Crispin Pacific Pear Cider","","","","","","","","","","","","","","","","1517734629000"
"","18606300079","Crispin Pacific Pear Cider 6 Pack 12 Ounce Bottle","","","04-09-00","Flavored Malt","Beer","MillerCoors","Craft","","Craft/Import","","","","","","6.0","12.0","OZ","","","","","","Crispin Pacific Pear Cider","","","","","","","","","","","","","","","","1517236534000"
"","18624900004","Xenergy Cranberry Razz 16 Ounce Can","","","07-07-00","Energy Drinks","Packaged Beverages (Non-alcoholic)","Xyience Extreme Science","","","","","","","","","1.0","16.0","OZ","","","","","","Xenergy","","","","","","","","","","","","","","","","1517236534000"
